year,lake,perturbation,value
1981,Trout,Rusty,0
1982,Trout,Rusty,0.10
1983,Trout,Rusty,0.11
1984,Trout,Rusty,0.31
1985,Trout,Rusty,1.37
1986,Trout,Rusty,0.87
1987,Trout,Rusty,3.04
1988,Trout,Rusty,5.37
1989,Trout,Rusty,12.28
1990,Trout,Rusty,10.30
1991,Trout,Rusty,9.63
1992,Trout,Rusty,16.16
1993,Trout,Rusty,19.30
1994,Trout,Rusty,15.97
1995,Trout,Rusty,27.17
1996,Trout,Rusty,35.93
1997,Trout,Rusty,35.80
1998,Trout,Rusty,26.39
1999,Trout,Rusty,33.56
2000,Trout,Rusty,23.00
2001,Trout,Rusty,45.17
2002,Trout,Rusty,45.61
2003,Trout,Rusty,50.48
2004,Trout,Rusty,62.10
2005,Trout,Rusty,58.46
2006,Trout,Rusty,57.37
2007,Trout,Rusty,82.81
2008,Trout,Rusty,72.92
2009,Trout,Rusty,45.26
2010,Trout,Rusty,56.01
2011,Trout,Rusty,77.20
2012,Trout,Rusty,144.69
2013,Trout,Rusty,46.67
2014,Trout,Rusty,43.39
2015,Trout,Rusty,22.50
2016,Trout,Rusty,35.33
2017,Trout,Rusty,24.56
2018,Trout,Rusty,7.44
2019,Trout,Rusty,7.33
2020,Trout,Rusty,
2021,Trout,Rusty,4.56
2022,Trout,Rusty,7.61
2023,Trout,Rusty,4.61
2024,Trout,Rusty,5.83
2025,Trout,Rusty,
1981,Trout,Trout,0
1982,Trout,Trout,0
1983,Trout,Trout,18994
1984,Trout,Trout,20800
1985,Trout,Trout,15625
1986,Trout,Trout,4745
1987,Trout,Trout,96000
1988,Trout,Trout,0
1989,Trout,Trout,0
1990,Trout,Trout,0
1991,Trout,Trout,0
1992,Trout,Trout,0
1993,Trout,Trout,0
1994,Trout,Trout,0
1995,Trout,Trout,0
1996,Trout,Trout,0
1997,Trout,Trout,0
1998,Trout,Trout,88023
1999,Trout,Trout,0
2000,Trout,Trout,96612
2001,Trout,Trout,100000
2002,Trout,Trout,0
2003,Trout,Trout,39120
2004,Trout,Trout,19693
2005,Trout,Trout,2130
2006,Trout,Trout,0
2007,Trout,Trout,0
2008,Trout,Trout,0
2009,Trout,Trout,0
2010,Trout,Trout,39405
2011,Trout,Trout,49112
2012,Trout,Trout,8083
2013,Trout,Trout,0
2014,Trout,Trout,51395
2015,Trout,Trout,54333
2016,Trout,Trout,17944
2017,Trout,Trout,0
2018,Trout,Trout,0
2019,Trout,Trout,14360
2020,Trout,Trout,25573
2021,Trout,Trout,0
2022,Trout,Trout,0
2023,Trout,Trout,15763
2024,Trout,Trout,15753
2025,Trout,Trout,0
1981,Trout,Spiny WF,0
1982,Trout,Spiny WF,0
1983,Trout,Spiny WF,0
1984,Trout,Spiny WF,0
1985,Trout,Spiny WF,0
1986,Trout,Spiny WF,0
1987,Trout,Spiny WF,0
1988,Trout,Spiny WF,0
1989,Trout,Spiny WF,0
1990,Trout,Spiny WF,0
1991,Trout,Spiny WF,0
1992,Trout,Spiny WF,0
1993,Trout,Spiny WF,0
1994,Trout,Spiny WF,0
1995,Trout,Spiny WF,0
1996,Trout,Spiny WF,0
1997,Trout,Spiny WF,0
1998,Trout,Spiny WF,0
1999,Trout,Spiny WF,0
2000,Trout,Spiny WF,0
2001,Trout,Spiny WF,0
2002,Trout,Spiny WF,0
2003,Trout,Spiny WF,0
2004,Trout,Spiny WF,0
2005,Trout,Spiny WF,0
2006,Trout,Spiny WF,0
2007,Trout,Spiny WF,0
2008,Trout,Spiny WF,0
2009,Trout,Spiny WF,0
2010,Trout,Spiny WF,0
2011,Trout,Spiny WF,0
2012,Trout,Spiny WF,0
2013,Trout,Spiny WF,0
2014,Trout,Spiny WF,7
2015,Trout,Spiny WF,15
2016,Trout,Spiny WF,55
2017,Trout,Spiny WF,60
2018,Trout,Spiny WF,30
2019,Trout,Spiny WF,42
2020,Trout,Spiny WF,25
2021,Trout,Spiny WF,7
2022,Trout,Spiny WF,12
2023,Trout,Spiny WF,8
2024,Trout,Spiny WF,15
2025,Trout,Spiny WF,13
1981,Sparkling,Rusty,1.45
1982,Sparkling,Rusty,1.98
1983,Sparkling,Rusty,3.53
1984,Sparkling,Rusty,3.83
1985,Sparkling,Rusty,2.35
1986,Sparkling,Rusty,4.18
1987,Sparkling,Rusty,4.61
1988,Sparkling,Rusty,16.93
1989,Sparkling,Rusty,2.84
1990,Sparkling,Rusty,2.07
1991,Sparkling,Rusty,4.60
1992,Sparkling,Rusty,5.70
1993,Sparkling,Rusty,1.23
1994,Sparkling,Rusty,2.97
1995,Sparkling,Rusty,5.00
1996,Sparkling,Rusty,7.77
1997,Sparkling,Rusty,8.07
1998,Sparkling,Rusty,5.67
1999,Sparkling,Rusty,13.33
2000,Sparkling,Rusty,10.78
2001,Sparkling,Rusty,7.72
2002,Sparkling,Rusty,6.28
2003,Sparkling,Rusty,0.53
2004,Sparkling,Rusty,0.31
2005,Sparkling,Rusty,0.19
2006,Sparkling,Rusty,0.28
2007,Sparkling,Rusty,0.24
2008,Sparkling,Rusty,0.11
2009,Sparkling,Rusty,0.00
2010,Sparkling,Rusty,0.58
2011,Sparkling,Rusty,0.06
2012,Sparkling,Rusty,0.11
2013,Sparkling,Rusty,0.08
2014,Sparkling,Rusty,0.00
2015,Sparkling,Rusty,0.06
2016,Sparkling,Rusty,0.28
2017,Sparkling,Rusty,0.33
2018,Sparkling,Rusty,0.17
2019,Sparkling,Rusty,0.22
2020,Sparkling,Rusty,
2021,Sparkling,Rusty,0.06
2022,Sparkling,Rusty,0.34
2023,Sparkling,Rusty,
2024,Sparkling,Rusty,
2025,Sparkling,Rusty,
1981,Sparkling,Cisco,60
1982,Sparkling,Cisco,32
1983,Sparkling,Cisco,10.5
1984,Sparkling,Cisco,8
1985,Sparkling,Cisco,10.5
1986,Sparkling,Cisco,10
1987,Sparkling,Cisco,0
