year,site ,load,value
2011,yah,totalQ,323.3639904
2012,yah,totalQ,178.9503984
2013,yah,totalQ,379.0889712
2014,yah,totalQ,310.905456
2015,yah,totalQ,231.0716592
2016,yah,totalQ,342.213216
2017,yah,totalQ,434.522256
2018,yah,totalQ,423.5556192
2019,yah,totalQ,607.061856
2020,yah,totalQ,483.561168
2021,yah,totalQ,241.133472
2022,yah,totalQ,248.978112
2023,yah,totalQ,274.763472
2024,yah,totalQ,441.31056
2011,yah,totalNO3,207.9066148
2012,yah,totalNO3,127.3517146
2013,yah,totalNO3,190.2124444
2014,yah,totalNO3,167.5074433
2015,yah,totalNO3,125.9702095
2016,yah,totalNO3,194.0253388
2017,yah,totalNO3,263.4317187
2018,yah,totalNO3,212.6616197
2019,yah,totalNO3,275.0355092
2020,yah,totalNO3,276.7773025
2021,yah,totalNO3,157.6667648
2022,yah,totalNO3,146.8962228
2023,yah,totalNO3,166.8801255
2024,yah,totalNO3,223.39406
2011,yah,totalNH4,1.785410687
2012,yah,totalNH4,3.193804775
2013,yah,totalNH4,1.470241357
2014,yah,totalNH4,1.556918253
2015,yah,totalNH4,2.220337376
2016,yah,totalNH4,3.930043558
2017,yah,totalNH4,18.63107368
2018,yah,totalNH4,7.668376457
2019,yah,totalNH4,3.842722562
2020,yah,totalNH4,1.556228793
2021,yah,totalNH4,1.123447594
2022,yah,totalNH4,9.127845004
2023,yah,totalNH4,10.72274252
2024,yah,totalNH4,0.79570923
2011,yah,totalKjN,30.01554795
2012,yah,totalKjN,8.152018927
2013,yah,totalKjN,54.57872956
2014,yah,totalKjN,38.93638264
2015,yah,totalKjN,19.05227014
2016,yah,totalKjN,25.4114939
2017,yah,totalKjN,37.77423458
2018,yah,totalKjN,62.00516458
2019,yah,totalKjN,91.24066583
2020,yah,totalKjN,35.10511781
2021,yah,totalKjN,12.69703798
2022,yah,totalKjN,22.00317639
2023,yah,totalKjN,19.14394108
2024,yah,totalKjN,42.79849172
2011,yah,totalTN,237.9221627
2012,yah,totalTN,135.5037335
2013,yah,totalTN,244.791174
2014,yah,totalTN,206.4438259
2015,yah,totalTN,145.0224796
2016,yah,totalTN,219.4368327
2017,yah,totalTN,301.2059532
2018,yah,totalTN,274.6667843
2019,yah,totalTN,366.276175
2020,yah,totalTN,311.8824203
2021,yah,totalTN,170.3638028
2022,yah,totalTN,168.8993992
2023,yah,totalTN,186.0240666
2024,yah,totalTN,266.1925517
2013,six,totalQ,350.3605968
2014,six,totalQ,282.2068176
2015,six,totalQ,255.4132656
2016,six,totalQ,323.878848
2017,six,totalQ,418.105152
2018,six,totalQ,499.292928
2019,six,totalQ,708.659856
2020,six,totalQ,577.980048
2021,six,totalQ,286.111296
2022,six,totalQ,285.788448
2023,six,totalQ,276.6189984
2024,six,totalQ,112.829712
2013,six,totalNO3,117.8704171
2014,six,totalNO3,101.5216007
2015,six,totalNO3,83.37111678
2016,six,totalNO3,96.66000161
2017,six,totalNO3,130.4163182
2018,six,totalNO3,156.3921713
2019,six,totalNO3,187.3616187
2020,six,totalNO3,192.4540961
2021,six,totalNO3,131.5521126
2022,six,totalNO3,103.3609162
2023,six,totalNO3,105.5327147
2024,six,totalNO3,43.81471924
2013,six,totalNH4,16.20558571
2014,six,totalNH4,16.30984383
2015,six,totalNH4,2.44678411
2016,six,totalNH4,1.995446462
