date,tax_abr,genome,abund.rel.to.total,abund.rel.to.cyanos,year,month,day
2000-03-15,Aphanizomenon;s__Aphanizomenon flosaquae,APHAN_134,0,0,2000,3,15
2000-03-15,Raphidiopsis;s__Raphidiopsis brookii,CYANO_106,0,0,2000,3,15
2000-03-15,Planktothrix;s__Planktothrix agardhii,CYANO_45,0,0,2000,3,15
2000-03-15,CACIAM-69d;s__CACIAM-69d sp001913845,CYANO_50,0,0,2000,3,15
2000-03-15,Limnoraphis;s__,CYANO_51_1,0,0,2000,3,15
2000-03-15,CACIAM-69d;s__CACIAM-69d sp001913845,CYANO_54,0,0,2000,3,15
2000-03-15,RDYZ01;s__,CYANO_79,0,0,2000,3,15
2000-03-15,Cuspidothrix;s__Cuspidothrix issatschenkoi,CYANO_84,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_101_1,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_10_1,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_101,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_104,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_106,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_114,0,0,2000,3,15
2000-03-15,RGUW01;s__,CYBIM_119_1,0,0,2000,3,15
2000-03-15,NIES-981;s__,CYBIM_119,0,0,2000,3,15
2000-03-15,Cyanobium_A;s__,CYBIM_130_1,0,0,2000,3,15
2000-03-15,Cyanobium;s__Cyanobium sp903907855,CYBIM_130,0,0,2000,3,15
2000-03-15,Cyanobium;s__Cyanobium sp014191755,CYBIM_134_1,0,0,2000,3,15
2000-03-15,NIES-981;s__,CYBIM_136_1,0,0,2000,3,15
2000-03-15,Cyanobium_A;s__,CYBIM_137,0,0,2000,3,15
2000-03-15,Cyanobium;s__Cyanobium sp014191755,CYBIM_157,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_15,0,0,2000,3,15
2000-03-15,NIES-981;s__,CYBIM_160,0,0,2000,3,15
2000-03-15,RGUW01;s__,CYBIM_173,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_178,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_190_1,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_190,0,0,2000,3,15
2000-03-15,Cyanobium;s__Cyanobium sp903882285,CYBIM_194,0,0,2000,3,15
2000-03-15,UBA5018;s__,CYBIM_200,0,0,2000,3,15
2000-03-15,Cyanobium;s__Cyanobium sp014191755,CYBIM_22,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_231,0,0,2000,3,15
2000-03-15,NIES-981;s__,CYBIM_28,0,0,2000,3,15
2000-03-15,UBA5018;s__,CYBIM_31,0,0,2000,3,15
2000-03-15,Cyanobium;s__Cyanobium sp014191755,CYBIM_39,0,0,2000,3,15
2000-03-15,Cyanobium;s__Cyanobium sp903907855,CYBIM_45,0,0,2000,3,15
2000-03-15,UBA5018;s__,CYBIM_51,0,0,2000,3,15
2000-03-15,NIES-981;s__,CYBIM_52,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_60_1,0,0,2000,3,15
2000-03-15,Cyanobium_A;s__,CYBIM_60,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_63,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_67_1,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_67,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_73_1,0,0,2000,3,15
2000-03-15,NIES-981;s__,CYBIM_73,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_76_1,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_76,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_77,0,0,2000,3,15
2000-03-15,Cyanobium_A;s__,CYBIM_80,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_83,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_89,0,0,2000,3,15
2000-03-15,Cyanobium;s__Cyanobium sp014191755,CYBIM_90,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_93,0,0,2000,3,15
2000-03-15,NIES-981;s__,CYBIM_94,0,0,2000,3,15
2000-03-15,Cyanobium;s__,CYBIM_96,0,0,2000,3,15
2000-03-15,Dolichospermum;s__Dolichospermum sp001277295,DOLIS_105,0,0,2000,3,15
2000-03-15,Dolichospermum;s__Dolichospermum sp015207875,DOLIS_117,0,0,2000,3,15
2000-03-15,Dolichospermum;s__Dolichospermum circinale,DOLIS_174,0,0,2000,3,15
2000-03-15,Dolichospermum;s__Dolichospermum sp000312705,DOLIS_187,0,0,2000,3,15
2000-03-15,Dolichospermum;s__Dolichospermum sp000312705,DOLIS_36,0,0,2000,3,15
2000-03-15,Dolichospermum;s__Dolichospermum sp000312705,DOLIS_53,0,0,2000,3,15
2000-03-15,Dolichospermum;s__Dolichospermum planctonicum,DOLIS_80,0,0,2000,3,15
2000-03-15,Microcystis;s__Microcystis aeruginosa_C,MCYST_100,0,0,2000,3,15
2000-03-15,Snowella;s__,MCYST_157,0,0,2000,3,15
2000-03-15,Microcystis;s__Microcystis aeruginosa,MCYST_162_1,0,0,2000,3,15
